Frame 95 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 95 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 96 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 96 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 96 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 97 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 97 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 97 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 98 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 98 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 98 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 99 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 99 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 99 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 100 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 100 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 100 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 101 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 101 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 101 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 102 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 102 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 102 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 103 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 103 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 103 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 104 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 104 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 104 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 105 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 105 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 105 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 106 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 106 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 106 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 107 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
